uf20-01.cnf,4.237265110015869,1.188655138015747,0,0,10000,750000,1000
uf20-03.cnf,4.481104850769043,0.9983291625976562,0,0,10000,750000,1500
uf20-01.cnf,4.513205051422119,1.2185790538787842,0,0,10000,750000,1000
uf20-03.cnf,4.472184658050537,1.0358383655548096,0,0,10000,750000,1500
uf20-01.cnf,4.576476812362671,1.2868361473083496,0,0,10000,750000,1000
uf20-03.cnf,4.312658071517944,0.9965329170227051,0,0,10000,750000,1500
uf20-01.cnf,4.22669792175293,1.2648310661315918,0,0,10000,750000,1000
uf20-01.cnf,4.511826038360596,1.2952191829681396,0,0,10000,750000,1000
uf20-03.cnf,4.3965089321136475,1.0828020572662354,0,0,10000,750000,1500
uf20-03.cnf,4.368056058883667,1.212507963180542,0,0,10000,750000,1000
uf20-03.cnf,4.295421838760376,1.0333800315856934,0,0,10000,750000,1500
uf20-01.cnf,2.440256118774414,1.4146702289581299,0,0,10000,750000,1000
uf20-03.cnf,4.243842840194702,1.032656192779541,0,0,10000,750000,1500
uf20-01.cnf,2.45920729637146,0.8558230400085449,0,0,10000,750000,1000
uf20-01.cnf,1.802321195602417,1.2666339874267578,1,1,10000,750000,1000
uf20-01.cnf,1.7724480628967285,0.8241360187530518,1,1,10000,750000,1000
uf20-01.cnf,2.0931599140167236,0.874636173248291,1,1,10000,750000,1000
uf20-01.cnf,2.106861114501953,0.812828779220581,0,0,10000,750000,1000
uf20-01.cnf,1.9258477687835693,0.786175012588501,0,0,10000,750000,1000
uf20-01.cnf,1.9465398788452148,0.8181500434875488,0,0,10000,750000,1000
uf20-01.cnf,1.8948192596435547,0.7981088161468506,0,0,10000,750000,1000
uf20-01.cnf,1.9015822410583496,0.8307449817657471,0,0,10000,750000,1000
uf20-01.cnf,2.0904760360717773,0.8397982120513916,0,0,10000,750000,1000
uf20-01.cnf,1.8951261043548584,0.7726759910583496,1,1,10000,750000,1000
uf20-01.cnf,1.9304571151733398,0.7636590003967285,1,1,10000,750000,1000
uf20-01.cnf,1.9101250171661377,0.7903439998626709,0,0,10000,750000,1000
uf20-01.cnf,1.9821140766143799,0.8261067867279053,1,1,10000,750000,1000
uf20-01.cnf,1.995715856552124,0.849362850189209,1,1,10000,750000,1000
uf20-01.cnf,1.9829120635986328,0.7687523365020752,1,1,10000,750000,1000
uf20-01.cnf,1.9447379112243652,0.7508730888366699,0,0,10000,750000,1000
uf20-01.cnf,2.123302936553955,0.8268380165100098,1,1,10000,750000,1000
uf20-01.cnf,1.4826092720031738,0.6320788860321045,0,0,10000,750000,1000
uf20-01.cnf,1.3024959564208984,0.7036709785461426,1,1,10000,750000,1000
uf20-01.cnf,1.274177074432373,0.6673851013183594,0,0,10000,750000,1000
uf20-01.cnf,1.2708706855773926,1.1773178577423096,0,0,10000,750000,1000
uf20-01.cnf,1.2732090950012207,0.6400561332702637,1,1,10000,750000,1000
uf20-01.cnf,1.2595341205596924,0.5449199676513672,0,0,10000,750000,1000
uf20-01.cnf,1.735623836517334,0.7086479663848877,1,1,10000,750000,1000
uf20-01.cnf,1.5429630279541016,0.6183991432189941,0,0,10000,750000,1000
uf20-01.cnf,1.7448139190673828,0.650428295135498,1,1,10000,750000,1000
uf20-01.cnf,1.7921648025512695,0.7327618598937988,1,1,10000,750000,1000
uf20-01.cnf,1.7627031803131104,0.6729750633239746,1,0,10000,750000,1000
uf20-01.cnf,1.7783029079437256,0.6894590854644775,1,1,10000,750000,1000
uf20-01.cnf,1.7713441848754883,0.6732001304626465,1,0,10000,750000,1000
uf20-01.cnf,1.7663569450378418,0.6973350048065186,1,0,10000,750000,1000
uf20-01.cnf,1.5289051532745361,0.6228020191192627,1,0,10000,750000,1000
uf20-01.cnf,1.5073809623718262,0.19395995140075684,1,1,10000,750000,1000
uf20-01.cnf,1.405761957168579,0.16570687294006348,0,0,10000,750000,1000
uf20-01.cnf,1.441343069076538,0.17403817176818848,0,0,10000,750000,1000
uf20-01.cnf,1.4086320400238037,0.16550993919372559,0,0,10000,750000,1000
uf20-01.cnf,1.4662551879882812,0.17435336112976074,0,0,10000,750000,1000
uf20-01.cnf,1.459049940109253,0.17334508895874023,0,0,10000,750000,1000
uf20-01.cnf,1.4197192192077637,0.17125296592712402,1,1,10000,750000,1000
uf20-01.cnf,1.4421639442443848,0.17063307762145996,0,0,10000,750000,1000
uf20-01.cnf,1.4345881938934326,0.17339706420898438,0,0,10000,750000,1000
uf20-01.cnf,1.3967030048370361,0.16757512092590332,1,1,10000,750000,1000
uf20-01.cnf,1.4270939826965332,0.1697709560394287,0,0,10000,750000,1000
uf20-01.cnf,1.267786979675293,0.09574198722839355,1,1,10000,750000,1000
uf20-01.cnf,1.216036081314087,0.09098005294799805,0,0,10000,750000,1000
uf20-01.cnf,2.656898021697998,0.04566192626953125,1,1,10000,750000,1000
uf20-01.cnf,2.783198118209839,0.04593205451965332,1,1,10000,750000,1000
uf20-01.cnf,1.2185020446777344,0.09121394157409668,0,0,10000,750000,1000
